,model,score_test,score_val,pred_time_test,pred_time_val,fit_time_marginal,fit_order
15,WeightedEnsemble,-11492.55072729477,-3556.4668225698238,2.473590850830078,2.7754526138305664,32.02483677864075,12
14,DynamicOptimizedTheta,-11261.092584825512,-3803.829586584991,0.26030969619750977,0.422457218170166,31.48984408378601,4
18,AutoETS,-13854.852359644243,-3813.543246603163,0.4464702606201172,0.36588048934936523,4.908294916152954,5
9,PatchTST,-7039.363667301563,-3895.056442867705,0.04548001289367676,0.017955303192138672,616.7950086593628,10
11,ChronosZeroShot[bolt_base],-7155.4315972241475,-3896.3595669319416,1.4140472412109375,1.7218997478485107,68.74556875228882,6
7,SeasonalNaive,-6636.337993703053,-4253.1055578620335,0.015822410583496094,0.009305238723754883,0.52925705909729,1
5,TiDE,-5309.481769254937,-4436.564472003612,0.06926870346069336,0.017980575561523438,2229.20982837677,11
22,DeepAR,-38705.56237257436,-4852.587773749477,0.2130143642425537,0.21997404098510742,1172.2260835170746,9
3,TemporalFusionTransformer,-4419.4920224704665,-5035.0718140390845,0.1036217212677002,0.030633926391601562,1280.2226650714874,8
1,ChronosFineTuned[bolt_small],-3418.897531105008,-5281.577047577243,1.0621962547302246,0.04368281364440918,2348.178775072098,7
19,RecursiveTabular,-14472.25803284169,-5436.072156860448,0.8982138633728027,0.8512182235717773,40.28090476989746,2
21,DirectTabular,-34303.72058783647,-8817.266794681134,0.16913104057312012,0.09786367416381836,37.92227363586426,3
0,ChronosFineTuned[bolt_small]_FULL,-3418.897531105008,,1.1336400508880615,,117.04938387870789,19
2,TemporalFusionTransformer_FULL,-4419.4920224704665,,0.09228801727294922,,53.22114706039429,20
4,TiDE_FULL,-5309.481769254937,,0.06738138198852539,,73.17134237289429,23
6,SeasonalNaive_FULL,-6636.337993703053,,0.012462139129638672,,0.0052945613861083984,13
8,PatchTST_FULL,-7039.363667301563,,0.04609370231628418,,32.36559200286865,22
10,ChronosZeroShot[bolt_base]_FULL,-7155.4315972241475,,1.4688165187835693,,0.018165111541748047,18
12,RecursiveTabular_FULL,-10226.696898007063,,0.5243377685546875,,1.7224829196929932,14
13,DynamicOptimizedTheta_FULL,-11261.092584825512,,0.2916855812072754,,0.009486913681030273,16
16,WeightedEnsemble_FULL,-11505.821504215728,,2.5366344451904297,,32.02483677864075,24
17,AutoETS_FULL,-13854.852359644243,,0.4163186550140381,,0.006000518798828125,17
20,DirectTabular_FULL,-23344.215370776925,,0.38716816902160645,,22.883665084838867,15
23,DeepAR_FULL,-38792.44265368316,,0.2262568473815918,,108.68956422805786,21
